path	sentence	translation
common_voice_id_25361422.mp3	halo dunia!	Hello!
common_voice_id_25377216.mp3	Sudah makan? sudah sholat...?	Have you eaten? Have you spoken?
common_voice_id_25378794.mp3	udah keluar hasil testnya?	Did you take the test?
common_voice_id_25378817.mp3	Dimanakah sate paling enak di Jakarta Selatan?	Where's the sweetest evening in South Jakarta?
common_voice_id_25436710.mp3	coba terus sampai berhasil	Go ahead and do it.
common_voice_id_25449451.mp3	Kapan saya harus melapor pajak?	When do I have to file my taxes?
common_voice_id_26208370.mp3	Biro terdiri dari Ketua Komite, dua Wakil Ketua dan Pelapor.	The Bureau consists of the Chairman of the Committee, two Vice Chairmen and a Rapporteur.
common_voice_id_26208371.mp3	Seorang anak laki-laki berkulit hitam mengenakan celana jins biru dan baju berwarna terang sedang menatap tangannya.	A black boy in blue jeans and a bright coat, staring at his hands.
common_voice_id_26208372.mp3	Dia mengakhiri musim bermain untuk Wellington di liga Birmingham.	He ended up playing for Wellington in the Birmingham League.
common_voice_id_26208373.mp3	Setiap dewan memiliki ketua, yang dipilih oleh dewan.	Each council has a chair, elected by the council.
common_voice_id_26208374.mp3	Ia tidak pernah mencapai kesuksesan yang didapatkannya dalam film bisu.	He never achieved the success that he achieved in silent films.
common_voice_id_26208376.mp3	Orang bilang aku adalah pendengar yang baik.	People say I'm a good listener.
common_voice_id_26208377.mp3	Kami mungkin melakukan hal seperti itu di album berikutnya.	We might do something like that on our next album.
common_voice_id_26208378.mp3	Beberapa model program yang bersamaan termasuk proses ulang dan kebersamaan yang menentukan.	Some models of programs that go together include a process of re-engineering and coherence that determines that.
common_voice_id_26208379.mp3	Itu diberi status bahasa nasional menurut konstitusi.	It's given the status of a national language by the constitution.
common_voice_id_26208380.mp3	Kriteria konvergensi digunakan untuk menentukan kapan perulangan berhenti.	Convergence criteria are used to determine when losses occur.
common_voice_id_26208399.mp3	Afeni Shakur membentuk label rekaman yang diberi nama Amaru Records untuk merilis lagu rekaman Tupac yang belum dirilis.	Afeni Shakur formed a record label called Amaru Records to release an unreleased track by Tupac.
common_voice_id_26208400.mp3	Semakin tinggi peringkat mereka untuk putaran tersebut, semakin banyak uang yang akan mereka menangkan.	The higher their score on that round, the more money they would win.
common_voice_id_26208403.mp3	Burung berfungsi sebagai tuan rumah alami.	Birds act as natural hosts.
common_voice_id_26208404.mp3	Warna kulit telah dan terus mempengaruhi daya tarik dan status serta kemampuan sosial ekonomi.	Color has influenced and continues to influence attractiveness and status and socioeconomic abilities.
common_voice_id_26208449.mp3	Wayne College menawarkan kelas siang dan malam, plus bagian khusus untuk Weekend College.	Wayne College offers day and night classes, plus a special section for Weekend College.
